11359978215	2020-12-31 23:29:27.423000	the effectiveness of blended e learning forumin planning for science instruction
11359978215	2020-12-31 23:29:50.101000	difficulties of grammar learning as forigen language
11359978215	2020-12-31 23:29:59.081000	difficulties of grammar
11359978215	2020-12-31 23:35:36.662000	students difficulties in grammar of seventh grade junior high school 1 magelang
11359978215	2020-12-31 23:59:14.402000	difficulties of english grammar
50524543247	2020-07-18 13:01:55.135000	andrew willmore
50524543247	2020-07-18 13:02:07.870000	andrew willmore mmwr
50524543247	2020-07-18 13:02:24.293000	andrew willmore covid
50524543247	2020-07-18 13:16:24.319000	phenyl mercapturic acid
210542275194	2020-06-03 12:50:14.080000	colorectal cancer nanoparticle
210542275194	2020-06-03 13:41:08.435000	colorectal cancer nano sized anti cancer agents
210542275194	2020-06-03 14:18:00.152000	colorectal cancer nano anti cancer agents
210542275194	2020-06-03 14:21:53.068000	nano colorectal cancer
210542275194	2020-06-03 14:22:43.376000	nano silica colorectal cancer
313384459516	2020-10-11 11:30:20.949000	photosynthesis a blueprint for solar energy capture and biohydrogen production technologies
313384459516	2020-10-11 11:37:28.647000	solar energy conversion by dye sensitized photovoltaic cells 
313384459516	2020-10-11 11:43:29.757000	plant oils as fuel present state of science and future developments berlin germany springer 
313384459516	2020-10-11 12:08:12.159000	solar energy conversion by dye sensitized photovoltaic cells
313384459516	2020-10-11 12:11:24.761000	comparing the efficiency of photosynthesis with photovoltaic devices recognizing opportunities for improvement science 332 805 809 
313384459516	2020-10-11 12:11:34.293000	comparing the efficiency of photosynthesis with photovoltaic devices
313384459516	2020-10-11 12:12:33.380000	ethanol learning curve the brazilian experience
313384459516	2020-10-11 12:19:00.160000	from systems biology to fuel chlamydomonas reinhardtii as a model for a systems biology approach to improve biohydrogen production
323328845229	2020-08-15 06:17:21.153000	modeling relational data with graph convolutional networks 
323328845229	2020-08-15 06:19:00.353000	representing text for joint embedding of text and knowledge bases
323328845229	2020-08-15 06:19:25.420000	convolutional 2d knowledge graph embeddings
323328845229	2020-08-15 06:21:42.363000	 deeppath a reinforcement learning method for knowledge graph reasoning
362947666411	2020-11-23 12:55:33.338000	how to measure the efectveness of political decision
362947666411	2020-11-23 12:55:51.227000	how to measure the efectiveness of political decision
362947666411	2020-11-23 12:56:05.129000	how to measure the efectiveness of political decision making
362947666411	2020-11-23 12:56:22.262000	models to evaluate effectiveness
599784737585	2020-10-22 17:30:09.827000	sustainable building metirial
599784737585	2020-10-22 17:45:54.624000	green roof sistem
599784737585	2020-10-22 17:46:27.076000	what is the green roof sistem and sustainability
599784737585	2020-10-22 17:46:43.794000	what is the green roof system
599784737585	2020-10-22 17:52:22.583000	principles of sustanabile construction
599784737585	2020-10-22 17:56:20.797000	sustainable development
599784737585	2020-10-22 17:57:19.437000	sustainable development and principles
599784737585	2020-10-22 17:58:26.244000	principles of sustainble development
766274228636	2020-09-06 06:13:27.265000	the relationship between oil price and external reserves
766274228636	2020-09-06 06:21:00.329000	the relationship between oil price exchange rates and external reserves
766274228636	2020-09-06 06:24:13.181000	the relationship between exchange rates and external reserves
766274228636	2020-09-06 06:41:24.338000	determinants of foreign reserves in nigeria an autoregressive distributed lag approach
891185940078	2020-09-02 08:47:55.740000	bitcoin transfer system
891185940078	2020-09-02 08:49:38.114000	cryptocurrency transfer system
891185940078	2020-09-02 08:49:55.262000	cryptocurrency transaction system
891185940078	2020-09-02 09:06:49.597000	cryptocurrency transaction analysis from a network perspective
891185940078	2020-09-02 09:06:59.702000	cryptocurrency transaction
891185940078	2020-09-02 09:20:19.792000	cryptocurrency trackability
899891935429	2020-09-19 08:31:02.536000	looking west acting east indias indo pacific strategy
899891935429	2020-09-19 08:35:41.389000	us india relations under president trump promise and peril
899891935429	2020-09-19 08:35:51.097000	u s india relations under president trump promise and perils
899891935429	2020-09-19 08:37:58.401000	us and india emerging off shore balancing in asia
899891935429	2020-09-19 08:38:07.762000	us and india emerging offshore balancing in asia
953249004674	2020-11-05 12:49:23.678000	rigid inclusions ground improvement technique
953249004674	2020-11-05 13:03:04.093000	rigid inclusions ground improvement technique carbon calculator
953249004674	2020-11-05 13:09:59.774000	rigid inclusions ground improvement technique case study
953249004674	2020-11-05 13:10:29.082000	cmcs vs piling foundations
